song_id,title,artist,genre,mood,energy,tempo_bpm,danceability,acousticness,duration_sec,popularity,release_decade,detailed_mood,instrumentalness,liveness
1,Blinding Lights,The Weeknd,Pop,Energetic,0.8,171,0.75,0.1,200,95,2020s,euphoric,0.0,0.1
2,Bohemian Rhapsody,Queen,Rock,Dramatic,0.9,144,0.4,0.3,354,98,1970s,theatrical,0.02,0.3
3,Lose Yourself,Eminem,Hip-Hop,Intense,0.95,171,0.7,0.05,326,92,2000s,aggressive,0.0,0.1
4,Watermelon Sugar,Harry Styles,Pop,Happy,0.7,95,0.85,0.2,174,88,2020s,carefree,0.0,0.2
5,Stay With Me,Sam Smith,Soul,Sad,0.4,84,0.5,0.6,172,85,2010s,heartbroken,0.0,0.15
6,Bad Guy,Billie Eilish,Pop,Dark,0.6,135,0.7,0.4,194,90,2010s,rebellious,0.0,0.1
7,Uptown Funk,Bruno Mars,Funk,Happy,0.92,115,0.95,0.05,270,93,2010s,celebratory,0.0,0.2
8,Someone Like You,Adele,Pop,Sad,0.3,68,0.3,0.8,285,96,2010s,heartbroken,0.0,0.1
9,Sicko Mode,Travis Scott,Hip-Hop,Intense,0.88,155,0.75,0.02,312,91,2010s,aggressive,0.0,0.15
10,Hotel California,Eagles,Rock,Melancholic,0.5,75,0.4,0.5,391,94,1970s,nostalgic,0.1,0.4
11,Levitating,Dua Lipa,Pop,Energetic,0.85,103,0.9,0.05,203,89,2020s,euphoric,0.0,0.1
12,Redbone,Childish Gambino,R&B,Mellow,0.45,96,0.65,0.3,325,82,2010s,romantic,0.0,0.2
13,Numb,Linkin Park,Rock,Sad,0.75,174,0.35,0.1,187,88,2000s,heartbroken,0.0,0.2
14,Peaches,Justin Bieber,Pop,Happy,0.65,90,0.8,0.3,198,84,2020s,carefree,0.0,0.15
15,HUMBLE.,Kendrick Lamar,Hip-Hop,Intense,0.82,150,0.72,0.05,177,90,2010s,aggressive,0.0,0.1
16,Bohemian Like You,Dandy Warhols,Indie,Carefree,0.65,148,0.78,0.2,213,60,2000s,carefree,0.0,0.3
17,Electric Feel,MGMT,Psychedelic,Euphoric,0.72,107,0.82,0.15,229,74,2000s,euphoric,0.05,0.2
18,Creep,Radiohead,Alternative,Melancholic,0.45,92,0.3,0.5,238,86,1990s,heartbroken,0.0,0.15
19,La Bamba,Ritchie Valens,Latin,Joyful,0.78,178,0.88,0.6,124,72,1950s,celebratory,0.0,0.5
20,Superstition,Stevie Wonder,Funk,Groovy,0.85,100,0.9,0.1,245,88,1970s,celebratory,0.0,0.3
21,Moonlight Sonata,Beethoven,Classical,Somber,0.1,52,0.05,0.98,902,80,1800s,melancholic,0.95,0.05
22,Stressed Out,Twenty One Pilots,Indie Pop,Anxious,0.68,170,0.6,0.3,202,87,2010s,nostalgic,0.0,0.2
23,Lazy Song,Bruno Mars,Reggae Pop,Chill,0.5,93,0.75,0.4,183,79,2010s,carefree,0.0,0.15
24,Photograph,Ed Sheeran,Acoustic Pop,Nostalgic,0.35,108,0.45,0.9,258,88,2010s,nostalgic,0.0,0.1
25,Mr. Brightside,The Killers,Indie Rock,Passionate,0.88,148,0.65,0.1,222,91,2000s,heartbroken,0.0,0.35
